--_BeginData_
NTU|Glücklich|109,546.79|110,894.32|1.23
SIM|RhJh|112,553.02|113,900.2|1.2
SMU|Rated PG|99,255.28|100,438.48|1.19
NTU|Happy Face|80,000|80,926.1|1.16
NTU|stress|97,573.19|98,696.42|1.15
TP|GDC |90,242.06|91,268.23|1.14
NTU|LateLee|95,031.85|96,084.77|1.11
NTU|Security Guards|100,000|101,089.67|1.09
SIM|B&J|79,442.38|80,308|1.09
TP|Dreamfly|106,280.58|107,423.28|1.08
NUS|Zenith|108,473.69|109,624.8|1.06
SIM|yeah yeah yeahs |99,143.11|100,193.11|1.06
SIM|Headstrong|79,234.33|80,072.72|1.06
NTU|Supper Bros|94,222.66|95,217.66|1.06
SMU|2304 Team Bravo|98,797.23|99,840.16|1.06
SIM|killerinstinct|93,089.46|94,069.94|1.05
NTU|Ancient|79,510.93|80,339.41|1.04
NTU|Carpediem|98,941.48|99,951.48|1.02
NUS|Gold Digger|107,744.66|108,822.24|1
NTU|The Ballad|94,764.29|95,699.29|0.99
NTU|Bliss|109,586.42|110,658.94|0.98
SIM|SIM-vestment|105,732.86|106,764.86|0.98
SIM|No mistake|100,000|100,973.15|0.97
NP|WeLoveZHEXI|98,541.83|99,490.05|0.96
NTU|MSDS|78,974.29|79,712.25|0.93
SP|Chronos|98,541.64|99,427.84|0.9
NTU|up up down down left right left right B A start|79,332.28|80,045.24|0.9
NTU|DoubleDips|89,681.16|90,486.41|0.9
NTU|S2A2|103,829.36|104,751.66|0.89
NTU|Team Traders|98,260.91|99,130.93|0.89
NTU|FourMachas|89,746.5|90,540.5|0.88
NTU|Four Wonders|100,702.51|101,590.05|0.88
NTU|Hamilton|116,355.05|117,373.72|0.88
NUS|Prosperity 3|134,436.54|135,609.84|0.87
SIM|Ice Cream Team|79,541.11|80,216.11|0.85
SMU|Tangyeo|77,007.34|77,660.58|0.85
NUS|SFS|108,992.78|109,907.2|0.84
SMU|TGF|102,762.51|103,616.86|0.83
NTU|EPIC|99,242.38|100,059.71|0.82
NTU|infinite|96,749.87|97,541.01|0.82
NTU|I Ching|109,548.49|110,437.41|0.81
NTU|Les Pandas|111,694.89|112,593.11|0.8
OU|Karthik Davis|78,648.92|79,280.15|0.8
NUS|KBBT|100,746.42|101,552.86|0.8
NTU|S Square |108,223.45|109,073.63|0.79
NTU|BlueDelta|79,920.99|80,548.43|0.79
SIM|A.I.M|89,556.39|90,257|0.78
NUS|Bullrun|99,579.16|100,353.23|0.78
NTU|Team SS|97,892.82|98,617.82|0.74
SMU|la victoire|98,811.26|99,527.72|0.73
NTU|Slamet|79,337.67|79,912.67|0.72
NTU|Trademark|99,873.22|100,593.61|0.72
NTU|A1|100,264.59|100,979.59|0.71
SMU|Victoire|98,391.52|99,093.06|0.71
SIM|W.H.Y|80,372.58|80,945.45|0.71
NUS|team bagus|98,466.12|99,164.35|0.71
OU|Speedy singh|80,199.12|80,742.06|0.68
NTU|Sunder|112,490.47|113,248.68|0.67
SIM|Pockets Full of Ca$h|78,977.37|79,500|0.66
NTU|Zest|90,269.37|90,857.28|0.65
NTU|Frenchies Trading|79,140.84|79,650.84|0.64
OU|dollars and sense|77,744.3|78,239.1|0.64
NP|Beast|99,839.29|100,444.29|0.61
SMU|Balalayki|100,197.26|100,803.49|0.61
NUS|Zathan|99,473.24|100,051.11|0.58
NUS|Blitzstock|97,381.98|97,940.83|0.57
TP|Strawberry cheesecake|110,629.05|111,255.51|0.57
OU|PySChe|103,141.89|103,722.77|0.56
RP|Trade -Win|79,794.64|80,239.01|0.56
